Currency,Tier 1,Tier 2,Tier 3
AUD,5,50,100
USD,4,40,80
CAD,5,50,100
EUR,3,30,60
GBP,3,25,50
NZD,5,50,100
SGD,5,40,80
INR,100,1000,2000
IDR,10000,100000,200000
PHP,100,500,1000
BDT,200,1000,2000
PKR,500,2500,5000
LKR,500,2500,5000
ZAR,50,300,600
NGN,1000,5000,10000
KES,500,1000,2000
CNY,20,100,200
JPY,500,3000,6000
THB,100,500,1000
MYR,10,50,100
BRL,10,50,100
NOR,30,300,600
SWE,30,300,600
DNK,30,300,600
CHE,20,200,400
ISL,20,200,400
FRA,3,30,60
DEU,3,30,60
ITA,3,30,60
ESP,3,30,60
NLD,3,30,60
BEL,3,30,60
AUT,3,30,60
IRL,3,30,60
FIN,3,30,60
PRT,3,30,60
